Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
TP53	ATM	17	643	23	124	1.1588088383399037e-08	-2.8105777317477454	4.6004710882094174e-06
TP53	BRCA2	7	653	10	137	0.00018449559677243178	-2.7674802714156623	0.036622375959327706
TP53	STK11	9	651	10	137	0.0006248642642806919	-2.400484743650159	0.0826903709731449
TP53	PIK3CD	1	659	5	142	0.0009695762284508618	-4.536315630390732	0.09623044067374804
TP53	ELF3	3	657	6	141	0.0017285365963520987	-3.220198207923536	0.13724580575035664
TP53	RBM10	14	646	11	136	0.0022075310330779067	-1.9000042100232786	0.14606497002198818
TP53	ETV6	1	659	4	143	0.00456416836670866	-4.204263318229662	0.22649685519791726
TP53	INSR	1	659	4	143	0.00456416836670866	-4.204263318229662	0.22649685519791726
TP53	SMAD4	139	521	46	101	0.006154460403445297	-0.771548962860219	0.2533784357950058
TP53	BCOR	7	653	7	140	0.0063823283575568214	-2.2216561646014643	0.2533784357950058
TP53	TGFBR2	29	631	15	132	0.007174267289283945	-1.306011676105042	0.25892582853142965
TP53	EPHA7	2	658	4	143	0.01175335264322426	-3.2020724369568523	0.38884008328000264
TP53	GNAS	9	651	7	140	0.015346825672746405	-1.8546606368359606	0.46866844554464027
TP53	SF3B1	10	650	7	140	0.022174881209577745	-1.7004397181410922	0.6288162743001688
TP53	DAXX	0	660	2	145	0.03299602424197699	-10.0	0.6549710812032433
TP53	NTRK1	0	660	2	145	0.03299602424197699	-10.0	0.6549710812032433
TP53	PRKCI	0	660	2	145	0.03299602424197699	-10.0	0.6549710812032433
TP53	TOP1	0	660	2	145	0.03299602424197699	-10.0	0.6549710812032433
TP53	KLF5	0	660	2	145	0.03299602424197699	-10.0	0.6549710812032433
TP53	WWTR1	0	660	2	145	0.03299602424197699	-10.0	0.6549710812032433
TP53	ARID1A	51	609	19	128	0.035393642019678186	-0.8258005893784222	0.6691083753243924
TP53	RICTOR	4	656	4	143	0.04054005590284872	-2.1976806678396943	0.7315637360650428
TP53	NCOR1	3	657	3	144	0.07745450894804735	-2.189824558880017	1.0
TP53	AR	3	657	3	144	0.07745450894804735	-2.189824558880017	1.0
TP53	CBL	1	659	2	145	0.08710130622882126	-3.1842255649931173	1.0
TP53	SOS1	1	659	2	145	0.08710130622882126	-3.1842255649931173	1.0
TP53	JUN	1	659	2	145	0.08710130622882126	-3.1842255649931173	1.0
TP53	SMAD2	1	659	2	145	0.08710130622882126	-3.1842255649931173	1.0
TP53	RASA1	1	659	2	145	0.08710130622882126	-3.1842255649931173	1.0
TP53	EGFR	1	659	2	145	0.08710130622882126	-3.1842255649931173	1.0
TP53	MAP3K1	1	659	2	145	0.08710130622882126	-3.1842255649931173	1.0
TP53	RPTOR	1	659	2	145	0.08710130622882126	-3.1842255649931173	1.0
TP53	AXIN2	6	654	4	143	0.09029457691321617	-1.608312987998537	1.0
TP53	ERBB4	13	647	6	141	0.11352557235284247	-1.082593332173778	1.0
TP53	PIK3R1	4	656	3	144	0.11787179330410426	-1.7725895038969275	1.0
TP53	ALK	4	656	3	144	0.11787179330410426	-1.7725895038969275	1.0
TP53	SOX9	4	656	3	144	0.11787179330410426	-1.7725895038969275	1.0
TP53	ERBB3	4	656	3	144	0.11787179330410426	-1.7725895038969275	1.0
TP53	SMAD3	7	653	4	143	0.122478910245912	-1.3837129227104372	1.0
TP53	TGFBR1	17	643	7	140	0.1284686236733114	-0.9192839911902457	1.0
TP53	KMT2D	28	632	10	137	0.13469085222692803	-0.7203218380463344	1.0
