Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
CRKL	ERBB2	2	0.003079363203172593	5.479640906864935	0.0056926925116121685
CRKL	CDK12	2	0.0019988602119814084	5.820733951858804	0.0038501000091059065
CRKL	LZTR1	2	6.819724005769487e-06	10.0	1.9186687071625524e-05
CRKL	MAPK1	2	6.819724005769487e-06	10.0	1.9186687071625524e-05
PMAIP1	PIK3C3	3	4.279497350863741e-06	7.775884583458509	1.2825201688147547e-05
PMAIP1	SMAD4	9	1.0238256924605424e-14	10.0	9.499921088696379e-14
PMAIP1	FGFR1	2	0.030584019268284964	3.190389104002028	0.04296008528951236
PMAIP1	MAP2K2	2	0.00024378362403854333	7.554588851677638	0.0005496523298999868
PMAIP1	MALT1	9	2.922347645975865e-23	10.0	3.5250818479583866e-22
PMAIP1	BCL2	6	7.826255125522712e-14	11.363039630256514	6.510634651835704e-13
PMAIP1	WHSC1L1	2	0.005277803978260378	4.633375850902012	0.009030285175569619
PMAIP1	SMAD2	5	1.5727535275509177e-08	7.214539902045498	8.072910394077849e-08
PMAIP1	DUSP4	3	0.0020229271233251312	4.0740005814437765	0.003880963566617797
PMAIP1	NKX3-1	4	0.0001959622310018455	4.46739290433998	0.0004481126846369216
H3-3A	PARP1	2	6.819724005769487e-06	10.0	1.9186687071625524e-05
PIK3CB	FOXL2	2	3.4098620028847435e-06	10.0	1.0380179283229583e-05
PIK3C2G	CCND2	2	0.0032813061430083286	5.429615964201735	0.005985747500950921
PIK3C2G	CDKN1B	2	0.00010188445303442431	8.365228849251544	0.0002421637861532499
PIK3C2G	RAD52	3	2.0587053018786994e-05	7.539158811108031	5.326141062501193e-05
PIK3C2G	KRAS	2	0.0014048998036832838	6.100800640787492	0.002812714337249728
PIK3C2G	KDM5A	3	1.5682022020745755e-05	7.685763141508648	4.1689121900880585e-05
PIK3C2G	ETV6	2	4.083601597499532e-05	9.367414751246828	0.0001020900399374883
PIK3C3	SMAD4	3	0.0005140215858144834	5.077377941646097	0.0011121767495761805
PIK3C3	MALT1	3	4.279497350863741e-06	7.775884583458509	1.2825201688147547e-05
PIK3C3	BCL2	3	1.7892133199169063e-06	8.363039630256514	6.3014264734299795e-06
PIK3C3	SMAD2	6	1.0679402405292139e-12	10.0	8.11466403236765e-12
PIK3C3	NKX3-1	2	0.0189468871208452	3.7290542031802016	0.02817218192852946
GATA1	ARAF	2	3.4098620028847435e-06	10.0	1.0380179283229583e-05
CCND1	EGFR	2	0.009844132743467982	4.077509367220916	0.015885598825161544
CCND1	FLT3	2	0.12363474624132993	1.901001743121677	0.139868147858011
CCND1	RPS6KB2	2	0.00026449720523206657	7.89921958225559	0.0005922037193711003
CCND1	FGF4	13	2.3371918904375007e-30	10.0	3.31675025628263e-29
CCND1	FGF3	11	1.730986917412221e-24	12.818082819530185	2.169353734159472e-23
CCND1	FGF19	13	2.3371918904375007e-30	10.0	3.31675025628263e-29
CCND3	VEGFA	6	8.236619957990885e-11	7.939211882666397	5.407032829565446e-10
