Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	MYC	0	21	75	1231	0.2919041329526779	-10.0	1.0
KRAS	FGFR1	0	21	42	1264	0.5062979280535309	-10.0	1.0
KRAS	SMAD4	0	21	41	1265	0.5147028738947359	-10.0	1.0
KRAS	CDKN2Ap14ARF	0	21	18	1288	0.7490110212856536	-10.0	1.0
KRAS	RAD21	0	21	18	1288	0.7490110212856536	-10.0	1.0
KRAS	CDKN2B	0	21	18	1288	0.7490110212856536	-10.0	1.0
KRAS	CDKN2A	0	21	18	1288	0.7490110212856536	-10.0	1.0
KRAS	CDKN2Ap16INK4A	0	21	18	1288	0.7490110212856536	-10.0	1.0
KRAS	RARA	0	21	17	1289	0.7612136833857301	-10.0	1.0
KRAS	WHSC1L1	0	21	17	1289	0.7612136833857301	-10.0	1.0
KRAS	SMAD3	0	21	16	1290	0.7736055340454979	-10.0	1.0
KRAS	AKT2	0	21	16	1290	0.7736055340454979	-10.0	1.0
KRAS	EGFR	0	21	16	1290	0.7736055340454979	-10.0	1.0
KRAS	FOXO1	0	21	15	1291	0.7861893576047196	-10.0	1.0
KRAS	SOX17	0	21	15	1291	0.7861893576047196	-10.0	1.0
KRAS	NCOA3	1	20	50	1256	0.8083610242083596	0.32883646422954	1.0
KRAS	NBN	0	21	13	1293	0.8119442552461491	-10.0	1.0
KRAS	NKX3-1	1	20	49	1257	0.8141645644375244	0.35913099541793714	1.0
KRAS	SDHA	0	21	11	1295	0.8385014360748277	-10.0	1.0
KRAS	RB1	0	21	11	1295	0.8385014360748277	-10.0	1.0
KRAS	RECQL4	1	20	44	1262	0.8426827425055133	0.5201364814578894	1.0
KRAS	AURKA	1	20	43	1263	0.8482695072411623	0.5544460741980919	1.0
KRAS	MAP2K4	0	21	10	1296	0.8520882649001142	-10.0	1.0
KRAS	TERT	0	21	10	1296	0.8520882649001142	-10.0	1.0
KRAS	CYLD	0	21	10	1296	0.8520882649001142	-10.0	1.0
KRAS	CDK8	1	20	42	1264	0.853811369721402	0.5895352305109802	1.0
KRAS	AGO2	1	20	42	1264	0.853811369721402	0.5895352305109802	1.0
KRAS	CRLF2	0	21	9	1297	0.8658846053495378	-10.0	1.0
KRAS	PRDM14	0	21	9	1297	0.8658846053495378	-10.0	1.0
KRAS	LYN	0	21	9	1297	0.8658846053495378	-10.0	1.0
