Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
PMAIP1	PIK3C3	2	9.701225739460847e-05	9.238404739325079	0.00020599355953270762
PMAIP1	SMAD4	3	2.586815559036203e-05	10.0	6.55727664964991e-05
PMAIP1	MALT1	3	2.6695723003469587e-08	10.0	1.6787502734874144e-07
PMAIP1	BCL2	3	2.6695723003469587e-08	10.0	1.6787502734874144e-07
PMAIP1	SMAD2	3	3.2034867604163507e-06	10.0	1.262096591151984e-05
PMAIP1	NKX3-1	2	0.002167479142097703	6.300123724569014	0.0032512187131465546
PIK3C2G	CCND2	2	0.0033064529569830003	5.5090136474878575	0.004784115561652394
PIK3C2G	CDKN1B	2	0.00032195306256273465	7.648657176038546	0.0005881488908268951
PIK3C2G	RAD52	3	4.786463840295354e-05	7.211888294546004	0.00010869261637337367
PIK3C2G	KRAS	2	0.0006731244617957222	6.906890595608519	0.0011005584950360059
PIK3C2G	KDM5A	3	3.016193796849434e-05	7.4797802640291	7.282173687553487e-05
PIK3C2G	ETV6	2	9.701225739460847e-05	9.238404739325079	0.00020599355953270762
PIK3C3	SMAD4	2	0.005336975639278408	5.112209503586025	0.007250278257968618
PIK3C3	MALT1	2	9.701225739460847e-05	9.238404739325079	0.00020599355953270762
PIK3C3	BCL2	2	9.701225739460847e-05	9.238404739325079	0.00020599355953270762
PIK3C3	SMAD2	4	3.700397248005685e-08	10.0	2.2000543638142893e-07
GATA1	ARAF	2	1.620430386310604e-05	10.0	4.5679373820997195e-05
CCND1	FGF4	3	2.6695723003469587e-08	10.0	1.6787502734874144e-07
CCND1	FGF3	2	1.620430386310604e-05	10.0	4.5679373820997195e-05
CCND1	FGF19	3	2.6695723003469587e-08	10.0	1.6787502734874144e-07
CCND3	VEGFA	4	3.071431655162846e-08	9.64625867999003	1.8950153796948126e-07
CCND2	PTEN	2	0.018465546647479146	3.689422052911356	0.021488376347778223
CCND2	CDKN1B	2	0.0054321656672853555	4.921612101315284	0.007250278257968618
CCND2	FLT3	3	0.03897832020498471	2.2841260621749777	0.042915524266094275
CCND2	FLT1	2	0.1655648392554742	1.636863602633186	0.1681357218526089
CCND2	RAD52	13	4.896995274109353e-23	10.909893083770042	2.668862424389597e-21
CCND2	FGFR1	2	0.05569362442755098	2.672114449816238	0.05932187357592564
CCND2	BCL2L1	2	0.04943164580969655	2.7815149171223443	0.05334702369561311
CCND2	MYC	2	0.09844403166968804	2.1425391136472336	0.10219428049519996
CCND2	KRAS	2	0.011084794952066527	4.179756010802006	0.01367821867670096
CCND2	KDM5A	12	1.2084550060571727e-21	11.211888294546004	4.9395598372586935e-20
CCND2	ASXL1	2	0.018465546647479146	3.689422052911356	0.021488376347778223
CCND2	ETV6	3	1.2146553966578662e-05	10.0	3.894042301050218e-05
