Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
STK19	CCND3	2	0.0004974026403508948	7.473931188332412	0.0014734772776921904
STK19	NOTCH4	3	1.1248363644298845e-08	10.0	1.3730761138213073e-07
CRKL	CDKN2B	2	0.2690517149094312	1.3972262231623833	0.3182175300710517
CRKL	CDKN2A	2	0.2945940996802118	1.2887483017815264	0.3340540676083004
CRKL	CDKN2Ap14ARF	2	0.2843402723974508	1.331570676761529	0.3311067645680842
CRKL	LZTR1	3	1.1248363644298844e-07	10.0	1.1216678112906452e-06
CRKL	SMARCB1	2	9.088677824593467e-05	9.069673527806811	0.0003064182809434369
CRKL	MYC	2	0.039478031058834046	3.245537757984309	0.07473381280656285
CRKL	MAPK1	4	2.7808068341900725e-10	10.0	4.922028096516428e-09
CRKL	CDKN2Ap16INK4A	2	0.289461591003857	1.3100679396773012	0.3317751693568599
PMAIP1	PIK3C3	3	8.973663653931365e-07	9.65284497300198	7.563516508313579e-06
PMAIP1	SMAD4	5	5.1062695224224635e-06	6.3352953186251915	3.256971911599193e-05
PMAIP1	CDKN2B	4	0.017573296469799403	3.0022384721959994	0.0370294461327916
PMAIP1	CDKN2A	4	0.021766484696923546	2.8927602667736303	0.044539512038791536
PMAIP1	CDKN2Ap14ARF	4	0.020015180628442337	2.935967828472942	0.04167867024981522
PMAIP1	BRCA2	2	0.00045107188750731514	7.064293676796159	0.0013589740270433153
PMAIP1	YES1	2	0.0016025312213260147	5.834696770870373	0.004502349621820708
PMAIP1	MALT1	5	2.0649555699431234e-12	10.0	5.333698326393414e-11
PMAIP1	BCL2	5	2.0649555699431234e-12	10.0	5.333698326393414e-11
PMAIP1	SMAD2	4	8.342420502570217e-10	10.0	1.4062937418618365e-08
PMAIP1	CDKN2Ap16INK4A	4	0.020878260679685335	2.914270125974116	0.04297037372446865
PIK3C2G	CDKN2B	2	0.0410913972289881	10.0	0.07498120937660716
PIK3C2G	CDKN2A	2	0.04623921085080148	10.0	0.07578092889436909
PIK3C2G	CDKN2Ap14ARF	2	0.04414364070386859	10.0	0.07578092889436909
