Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
TAP1	STK19	2	1.20599863722154e-06	10.0	8.665400156639848e-06
TAP1	TAP2	3	5.410491867301659e-10	10.0	6.868045585492925e-09
TAP1	CCND3	2	0.000420140383922389	7.461397589926158	0.0015146024683742577
TAP1	NOTCH4	2	1.20599863722154e-06	10.0	8.665400156639848e-06
TAP1	VEGFA	2	0.0002518205229798211	7.861250189911689	0.0009803681884409578
TAP1	PIM1	2	4.332505467660477e-05	9.309638755489377	0.00021029971499455087
STK19	TAP2	2	1.20599863722154e-06	10.0	8.665400156639848e-06
STK19	CCND3	2	0.00014110184055492019	10.0	0.0005970460707924855
STK19	NOTCH4	2	4.019995457405133e-07	10.0	3.2014754697851903e-06
STK19	VEGFA	2	8.441990460550779e-05	10.0	0.00038148325824430653
STK19	PIM1	2	1.447198364665848e-05	10.0	8.018933795747669e-05
CRKL	PIK3CA	2	0.028005263998156695	3.137239075936732	0.044982381475566866
CRKL	CCND1	2	0.06427321641164115	2.434961760187254	0.08767193212255446
CRKL	EIF4A2	3	0.0010217084940245974	4.251225103544161	0.0031916009556070385
CRKL	PRKD1	2	0.026433390528089545	3.1852058193822725	0.042935041846516905
CRKL	ERBB2	3	0.004160162133581537	3.4788059112776986	0.00977393111473531
CRKL	CTNNB1	2	0.000183634799222152	8.111135670234708	0.0007475667385243876
CRKL	CDK12	2	0.017822165062960558	3.51109373845979	0.031408098211502644
CRKL	MAP3K13	3	0.0012743812322303341	4.1296127381304695	0.0038572131371480273
CRKL	CDKN2B	3	0.4932389773739157	0.24787990681615313	0.5075357593267829
CRKL	CDKN2A	3	0.5409752480313369	0.13480869567186965	0.5521796574082043
CRKL	WHSC1	2	0.0026636616721830114	5.106562940444883	0.007022075987900966
CRKL	CCNE1	3	0.020705551176027272	2.5722159840558345	0.035576519227390586
CRKL	PDGFRA	2	0.0060683113313950935	4.40284809027093	0.013096213508278647
CRKL	SOX2	3	0.004160162133581537	3.4788059112776986	0.00977393111473531
CRKL	CEBPA	3	0.006444063723825549	3.235993387149298	0.013633425726820822
CRKL	CDKN2Ap14ARF	3	0.5260066833102334	0.17011696405864107	0.5386071856237027
CRKL	SETD2	2	0.000183634799222152	8.111135670234708	0.0007475667385243876
CRKL	FGFR3	2	0.0026636616721830114	5.106562940444883	0.007022075987900966
CRKL	KIT	2	0.009695602845599791	4.01319949775486	0.019077062799449797
CRKL	FOXA1	4	0.015994384921177746	2.291885086969089	0.028805020823221658
CRKL	LZTR1	2	6.150593049829854e-05	10.0	0.000285641178334116
CRKL	CHEK2	2	0.0006062738930738516	6.524868153557637	0.0020399046892259957
CRKL	VEGFA	2	0.011793742854211173	3.851420296959607	0.022579519568688578
CRKL	KDR	2	0.009695602845599791	4.01319949775486	0.019077062799449797
CRKL	TERT	3	0.10047806425623335	1.588443069456118	0.12907163789308845
CRKL	BCL6	2	0.01528010904647305	3.637942150352925	0.027805550302204864
CRKL	NKX2-1	5	0.010353479111185178	2.2085709293417954	0.02019121228899195
CRKL	MYC	2	0.2887737051448616	1.0020793110121924	0.3124597324037572
CRKL	FAT1	2	0.0009050624207910075	6.109177703355274	0.002900770069390612
CRKL	NFKBIA	3	0.08008526825143601	1.7401936170204353	0.10572870743941552
CRKL	DCUN1D1	2	0.032942290259078376	3.0019876398655674	0.05131842837310499
CRKL	FGF4	2	0.06209398811069861	2.464774939711607	0.08558290830545107
CRKL	FGF3	2	0.05365168355591666	2.590295945024197	0.07639255690541635
CRKL	TP63	3	0.0017222169578822825	3.964134547442994	0.0049379649805399595
CRKL	FGF19	2	0.06427321641164115	2.434961760187254	0.08767193212255446
CRKL	MAPK1	8	2.6093995425507706e-17	10.789207575347344	6.918211825155176e-16
CRKL	CDKN2Ap16INK4A	3	0.5303055075179425	0.15996741716475169	0.5423461354962551
CRKL	NF2	3	1.5142612619505257e-05	6.787249608467913	8.379445741493728e-05
CRKL	SDHA	3	0.052981565042304085	2.0054855390837294	0.0756183223039904
SCG5	B2M	2	1.4454672986772093e-05	10.119589620741122	8.018933795747669e-05
SCG5	SPRED1	3	2.1627397024321624e-08	11.704552121462278	2.1217134926202172e-07
SCG5	MGA	2	2.41199727444308e-06	10.0	1.606336499625129e-05
SCG5	KNSTRN	2	2.41199727444308e-06	10.0	1.606336499625129e-05
SCG5	GREM1	4	4.856814961671148e-12	10.0	8.441990819269893e-11
SCG5	SETD2	2	7.231663429835399e-06	11.12023787734196	4.2787341959859445e-05
SCG5	PNRC1	2	2.4076703379937273e-05	9.53397857200235	0.00012622417175876382
SCG5	RAD51	2	2.41199727444308e-06	10.0	1.606336499625129e-05
SCG5	TP53BP1	2	2.41199727444308e-06	10.0	1.606336499625129e-05
SCG5	PTP4A1	2	3.609343495810403e-05	9.11829223302699	0.00018042410386574914
SCG5	EPHA7	2	0.0001080210820893628	8.115693952197011	0.00047531545469783697
STK11	IL7R	2	0.032942290259078376	3.0019876398655674	0.05131842837310499
STK11	RIT1	2	0.019156448942485298	3.4515408330178317	0.03333874724556332
STK11	HIST2H3D	2	0.004551207260105	4.645167134927072	0.010527336947862972
STK11	HIST2H3C	2	0.004551207260105	4.645167134927072	0.010527336947862972
STK11	CALR	4	4.413819433693451e-08	8.30312838775862	4.117926415978144e-07
STK11	CDKN2B	6	0.0348271891607076	1.5857232152343725	0.05375500935674434
STK11	CDKN2A	6	0.04644816041227674	1.4717954439884213	0.0683666001289625
STK11	RECQL4	3	0.01468546852717961	2.7709129260895438	0.027016876442843826
STK11	TCF3	5	1.8685761379253885e-11	10.0	2.9649490309732775e-10
STK11	DNAJB1	2	0.00036551253101108625	7.1104833098162255	0.0013478274581033805
STK11	DOT1L	4	4.413819433693451e-08	8.30312838775862	4.117926415978144e-07
STK11	KEAP1	3	0.0001890401585017109	5.197052834283038	0.0007628990596952476
STK11	MCL1	4	0.0003011606585193835	3.9933790841074566	0.0011406528015711552
STK11	SMARCA4	4	9.46851357994639e-07	6.492507231476174	7.070161031443036e-06
STK11	RB1	2	0.005284408508342644	4.518980929170401	0.011734526612996595
STK11	CDKN2Ap14ARF	6	0.04250612561985587	1.507363505921319	0.06334335119942235
STK11	DNMT1	2	0.0006062738930738516	6.524868153557637	0.0020399046892259957
STK11	CARM1	3	2.41058337090024e-05	6.464668267003444	0.00012622417175876382
STK11	RICTOR	2	0.032942290259078376	3.0019876398655674	0.05131842837310499
STK11	BABAM1	2	0.000183634799222152	8.111135670234708	0.0007475667385243876
STK11	TCEB1	2	0.0060683113313950935	4.40284809027093	0.013096213508278647
STK11	MAP2K2	4	1.47871107371967e-08	9.303780748177102	1.4962127265245645e-07
STK11	TERT	5	0.004116133673230468	2.5543110363405783	0.009697685015276958
STK11	INSR	4	1.47871107371967e-08	9.303780748177102	1.4962127265245645e-07
STK11	NKX2-1	2	0.41851142980553757	0.5597252092221334	0.4381765507261677
STK11	NTRK1	2	0.014073721325446119	3.7057146601817665	0.026120876664729193
STK11	MYC	3	0.08613839371121933	1.6919842119678916	0.11283106043036203
STK11	NFKBIA	2	0.27649382138865	1.0499349616599185	0.3013092137869549
STK11	PRDM14	2	0.0026636616721830114	5.106562940444883	0.007022075987900966
STK11	AGO2	3	0.006444063723825549	3.235993387149298	0.013633425726820822
STK11	DROSHA	2	0.028005263998156695	3.137239075936732	0.044982381475566866
STK11	CDKN2Ap16INK4A	4	0.28766734390269827	0.6796091402510357	0.3120244701212851
STK11	LATS2	2	0.0032400408190852033	4.935983507128845	0.008069281207579023
STK11	ELF3	3	2.41058337090024e-05	6.464668267003444	0.00012622417175876382
STK11	GNA11	4	4.413819433693451e-08	8.30312838775862	4.117926415978144e-07
STK11	MTAP	2	0.11275584658217862	1.936133117731581	0.14192735616969537
STK11	PTPRS	3	4.4149613637181537e-07	10.0	3.5093497443292875e-06
STK11	PTPRD	2	0.01291136235336178	3.7767620017862313	0.024330048087374042
STK11	SDHA	4	0.00939081176517436	2.534548739594995	0.018652494302662585
B2M	PIK3CA	2	0.0012500380905244872	6.146466028618324	0.003789008365562284
B2M	EIF4A2	2	0.0007726888567402198	6.520291278979727	0.0025366721166808623
B2M	MAP3K13	2	0.0008976148186254642	6.403503711750465	0.0028791029672450763
B2M	SPRED1	2	2.4076703379937273e-05	9.53397857200235	0.00012622417175876382
B2M	MGA	2	2.41199727444308e-06	10.0	1.606336499625129e-05
B2M	KNSTRN	2	2.41199727444308e-06	10.0	1.606336499625129e-05
B2M	SOX2	2	0.00202736586996539	5.772809410160731	0.005665534108929299
B2M	GREM1	2	2.4076703379937273e-05	9.53397857200235	0.00012622417175876382
B2M	SETD2	2	7.231663429835399e-06	11.12023787734196	4.2787341959859445e-05
B2M	RAD51	2	2.41199727444308e-06	10.0	1.606336499625129e-05
B2M	YES1	2	0.00021791913374562808	7.5281284827212245	0.0008644538364208674
B2M	TP53BP1	2	2.41199727444308e-06	10.0	1.606336499625129e-05
B2M	DCUN1D1	2	0.0014888252077643034	6.011227255423254	0.004337726787467309
TAP2	CCND3	2	0.000420140383922389	7.461397589926158	0.0015146024683742577
TAP2	NOTCH4	2	1.20599863722154e-06	10.0	8.665400156639848e-06
TAP2	VEGFA	2	0.0002518205229798211	7.861250189911689	0.0009803681884409578
TAP2	PIM1	2	4.332505467660477e-05	9.309638755489377	0.00021029971499455087
PMAIP1	PIK3C3	5	6.816207437204991e-12	10.268347054682518	1.1654323654878248e-10
PMAIP1	SMAD4	5	2.420387992501533e-10	8.679480099505446	3.2187318414568003e-09
