Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	MTAP	0	42	72	2117	0.24886745578525526	-10.0	1.0
KRAS	EGFR	2	40	174	2015	0.34354239421013366	-0.7883074673207611	1.0
KRAS	AKT2	0	42	47	2142	0.40548605964173245	-10.0	1.0
KRAS	ERBB2	0	42	42	2147	0.44676935748989643	-10.0	1.0
KRAS	RICTOR	0	42	36	2153	0.5017464872274178	-10.0	1.0
KRAS	IL7R	0	42	36	2153	0.5017464872274178	-10.0	1.0
KRAS	RAC1	0	42	33	2156	0.5316584140699869	-10.0	1.0
KRAS	DROSHA	0	42	33	2156	0.5316584140699869	-10.0	1.0
KRAS	CARD11	0	42	33	2156	0.5316584140699869	-10.0	1.0
KRAS	PRKCI	0	42	32	2157	0.5420105945942982	-10.0	1.0
KRAS	TP63	0	42	31	2158	0.5525594569543355	-10.0	1.0
KRAS	RIT1	0	42	27	2162	0.5967955974790409	-10.0	1.0
KRAS	CCND3	0	42	27	2162	0.5967955974790409	-10.0	1.0
KRAS	CDK12	0	42	26	2163	0.6083838615077599	-10.0	1.0
KRAS	BCL6	0	42	24	2165	0.6322231135265852	-10.0	1.0
KRAS	TRIP13	0	42	24	2165	0.6322231135265852	-10.0	1.0
KRAS	MET	1	41	63	2126	0.6592071649376097	-0.28090604658689555	1.0
KRAS	VEGFA	0	42	21	2168	0.6697007516283278	-10.0	1.0
KRAS	PDCD1LG2	0	42	19	2170	0.6958816198109335	-10.0	1.0
KRAS	KIT	0	42	19	2170	0.6958816198109335	-10.0	1.0
KRAS	KDR	0	42	19	2170	0.6958816198109335	-10.0	1.0
KRAS	STK11	0	42	18	2171	0.7093440924189756	-10.0	1.0
KRAS	CRKL	0	42	18	2171	0.7093440924189756	-10.0	1.0
KRAS	KEAP1	0	42	15	2174	0.7512750608682524	-10.0	1.0
KRAS	PAK1	0	42	15	2174	0.7512750608682524	-10.0	1.0
KRAS	PDGFRA	0	42	15	2174	0.7512750608682524	-10.0	1.0
KRAS	CEBPA	1	41	48	2141	0.7649532593309967	0.1215545750462696	1.0
KRAS	DDR2	0	42	14	2175	0.7657824413539842	-10.0	1.0
KRAS	RB1	0	42	14	2175	0.7657824413539842	-10.0	1.0
KRAS	YES1	0	42	14	2175	0.7657824413539842	-10.0	1.0
KRAS	SMAD4	0	42	14	2175	0.7657824413539842	-10.0	1.0
KRAS	FGF3	1	41	46	2143	0.7789949171931935	0.18430217400145102	1.0
KRAS	WWTR1	0	42	13	2176	0.7805631686227651	-10.0	1.0
KRAS	YAP1	0	42	13	2176	0.7805631686227651	-10.0	1.0
KRAS	BIRC3	0	42	13	2176	0.7805631686227651	-10.0	1.0
KRAS	ERCC2	0	42	13	2176	0.7805631686227651	-10.0	1.0
KRAS	FOXA1	3	39	123	2066	0.7898453201938607	0.36967031538472755	1.0
KRAS	BCL2L1	0	42	12	2177	0.7956222651235259	-10.0	1.0
KRAS	AXL	0	42	11	2178	0.8109648432388555	-10.0	1.0
KRAS	LATS2	0	42	11	2178	0.8109648432388555	-10.0	1.0
KRAS	RARA	0	42	11	2178	0.8109648432388555	-10.0	1.0
KRAS	SOCS1	0	42	11	2178	0.8109648432388555	-10.0	1.0
KRAS	SMARCA4	0	42	11	2178	0.8109648432388555	-10.0	1.0
KRAS	SOX2	1	41	41	2148	0.8136693326352304	0.35367426874924524	1.0
KRAS	H3C14	0	42	10	2179	0.8265961068533723	-10.0	1.0
KRAS	FGFR3	0	42	10	2179	0.8265961068533723	-10.0	1.0
KRAS	MYCL1	0	42	10	2179	0.8265961068533723	-10.0	1.0
KRAS	WHSC1	0	42	10	2179	0.8265961068533723	-10.0	1.0
KRAS	NPM1	0	42	10	2179	0.8265961068533723	-10.0	1.0
