Gene_A	Gene_B	Co_Occurrence_Count	P_Value	Log2OR	P_Adj
STK19	CCND3	2	0.00043983958055696326	7.543805175964397	0.0011752626734496349
STK19	NOTCH4	3	7.109782434969663e-09	10.0	8.093464662273685e-08
CRKL	CDKN2B	2	0.32068734843840935	1.0979137565269244	0.3692211941796446
CRKL	CDKN2A	2	0.3519323817649643	0.9808911770522953	0.39098370220145096
CRKL	CDKN2Ap14ARF	2	0.3415135912142368	1.0192619021606328	0.386958526220946
CRKL	LZTR1	3	5.674254783200602e-07	9.874981347653774	4.248023175531261e-06
CRKL	SMARCB1	3	1.4151766673090336e-06	8.873444112515376	9.882452189359722e-06
CRKL	MYC	2	0.044280205832332865	3.0362753863915497	0.07089952032113413
CRKL	MAPK1	5	5.757599314735358e-12	12.196909442541138	1.4951765720453382e-10
CRKL	CDKN2Ap16INK4A	2	0.34411835243956573	1.0096115947842914	0.386958526220946
PMAIP1	PIK3C3	3	5.674254783200602e-07	9.874981347653774	4.248023175531261e-06
PMAIP1	SMAD4	5	2.6390301802774713e-06	6.537865494086511	1.3706462998816116e-05
PMAIP1	CDKN2B	4	0.013857262970920452	3.1179972093984514	0.027747916936951555
PMAIP1	CDKN2A	4	0.017552040669497754	3.0	0.03399940745070544
PMAIP1	CDKN2Ap14ARF	4	0.016253057460984762	3.03868046816406	0.03208145071277515
PMAIP1	BRCA2	2	0.00033274459969716616	7.28694273693803	0.000900686522307313
PMAIP1	YES1	2	0.0014762748608976354	5.864186144654281	0.0036730072137902245
PMAIP1	MALT1	5	9.60450444099623e-13	10.0	2.9560530335066175e-11
PMAIP1	BCL2	5	9.60450444099623e-13	10.0	2.9560530335066175e-11
PMAIP1	SMAD2	4	4.5237215917092247e-10	10.0	7.371005181785031e-09
PMAIP1	CDKN2Ap16INK4A	4	0.01657135564968044	3.028951373696129	0.03247829373793502
PIK3C2G	CDKN2B	2	0.09453252042924885	3.1035825066136162	0.14078230192958027
PIK3C2G	CDKN2A	2	0.10655163607469478	2.98665044634098	0.14982133600350483
PIK3C2G	CDKN2Ap14ARF	2	0.10248011962635534	3.0249906788777006	0.14751597762748006
PIK3C2G	H3F3C	2	0.00014044664222039076	8.551516017628014	0.0004038448432011928
PIK3C2G	KRAS	3	2.0796113622286268e-05	10.0	7.385286504324738e-05
PIK3C2G	RECQL	3	1.4219564869939328e-07	10.0	1.2843976529260415e-06
PIK3C2G	CDKN2Ap16INK4A	2	0.10349195542337049	3.015347964333436	0.14751597762748006
PIK3C3	SMAD4	4	8.831058500615023e-06	10.0	3.494576006671945e-05
PIK3C3	CDKN2B	3	0.02335704715238412	3.6966728882181727	0.0443143976795233
PIK3C3	CDKN2A	3	0.028061417081857297	3.5792261311720117	0.05159079113943233
PIK3C3	CDKN2Ap14ARF	3	0.026433631352915033	3.6177305301905758	0.049585434885490734
PIK3C3	FGFR1	2	0.004216031620205937	5.257387842692652	0.009896955583025802
PIK3C3	MALT1	3	2.839389252396156e-07	10.461479447286155	2.225974027114345e-06
PIK3C3	BCL2	3	2.839389252396156e-07	10.461479447286155	2.225974027114345e-06
PIK3C3	SMAD2	3	1.1366604452768042e-07	11.463013413449692	1.0613087977809262e-06
PIK3C3	CDKN2Ap16INK4A	3	0.02683493208259018	3.6080461138341975	0.04999961560679919
CCND1	RIT1	2	0.0033082807788672158	5.268347054682518	0.007877310393233972
CCND1	CDKN2B	6	0.10818713813873579	1.1154772174199359	0.1518640401913673
CCND1	CDKN2A	6	0.13818233473804886	0.996116565512772	0.186076950048653
CCND1	TEK	2	0.06832715449926506	2.4326413177497623	0.10456697125025648
CCND1	MCL1	3	0.0001935370639088689	5.529820946528695	0.0005507852743433906
CCND1	CDKN2Ap14ARF	6	0.12773199116487	1.0352371800565414	0.17429439188506893
CCND1	TERT	2	0.014067597753960874	3.8454900509443752	0.028101379167167033
CCND1	AKT2	2	0.18829148968457926	1.4724877714627436	0.2318077450783487
CCND1	MYC	2	0.28898693172544504	1.01660196733713	0.3391922885082554
CCND1	FGF4	12	1.8566841540339053e-23	10.0	9.075909011777502e-22
CCND1	FGF3	12	1.8566841540339053e-23	10.0	9.075909011777502e-22
CCND1	FGF19	15	2.743309734936284e-30	10.0	2.0724458088473198e-28
CCND1	CDKN2Ap16INK4A	6	0.13030270850705625	1.0253967770654815	0.17722021402514523
CCND3	SMAD4	3	0.025507435598492972	2.559083868895551	0.0481742704144265
CCND3	CDKN2B	3	0.4071952660472825	0.5115814391815781	0.4417483891452895
CCND3	CDKN2A	3	0.45255739792836525	0.3938916904072952	0.46833773060830824
CCND3	CDKN2Ap14ARF	3	0.43750613991776743	0.43247794722128274	0.45847112518494926
CCND3	NOTCH4	2	0.00043983958055696326	7.543805175964397	0.0011752626734496349
CCND3	VEGFA	5	2.6294504608522817e-09	8.378759317484038	3.901916666014725e-08
CCND3	AKT2	2	0.09582401661702254	2.160274831408593	0.14168996051378244
CCND3	MYC	2	0.1553305537099833	1.7045441164738286	0.20456369276227596
CCND3	PIM1	2	0.0008734673374149111	6.542258049766918	0.0022265379061097886
CCND3	CDKN2Ap16INK4A	3	0.441276689931868	0.42277314805844907	0.4595249741019829
CCND2	CDKN1B	3	2.823590792834462e-06	8.28694273693803	1.439511625058551e-05
CCND2	CDKN2B	2	0.32068734843840935	1.0979137565269244	0.3692211941796446
CCND2	CDKN2A	2	0.3519323817649643	0.9808911770522953	0.39098370220145096
CCND2	RECQL4	2	0.0033960510870578546	5.155985810484439	0.008063195580985935
CCND2	RAD52	4	9.403216278518348e-08	8.282316238988505	8.981692790170974e-07
CCND2	CDKN2Ap14ARF	2	0.3415135912142368	1.0192619021606328	0.386958526220946
CCND2	KRAS	2	0.010970582966937025	4.19377174339668	0.022252438549987194
CCND2	KDM5A	4	9.403216278518348e-08	8.282316238988505	8.981692790170974e-07
CCND2	ETV6	3	2.823590792834462e-06	8.28694273693803	1.439511625058551e-05
CCND2	CDKN2Ap16INK4A	2	0.34411835243956573	1.0096115947842914	0.386958526220946
IL7R	RIT1	2	0.00033274459969716616	7.28694273693803	0.000900686522307313
IL7R	CDKN2B	2	0.32068734843840935	1.0979137565269244	0.3692211941796446
IL7R	CDKN2A	2	0.3519323817649643	0.9808911770522953	0.39098370220145096
IL7R	SDHC	2	0.0004977051041493319	6.870364719583405	0.001312993465232047
IL7R	MCL1	2	0.0006948153579798345	6.546894459887636	0.001802009907055236
IL7R	CDKN2Ap14ARF	2	0.3415135912142368	1.0192619021606328	0.386958526220946
IL7R	RICTOR	5	2.0133735877055432e-11	11.19537220740274	4.4029301352192273e-10
IL7R	DDR2	2	0.00020021283048522325	7.873444112515377	0.0005601914549940084
IL7R	TERT	3	1.6779933441314044e-05	7.058378348794155	6.010398573160332e-05
IL7R	NTRK1	2	0.00010039012798177162	8.874981347653774	0.00029794355840304364
IL7R	NUF2	2	0.00010039012798177162	8.874981347653774	0.00029794355840304364
IL7R	AMER1	2	0.0009237977171066788	6.282316238988505	0.0023476327306288995
IL7R	DROSHA	4	4.5237215917092247e-10	10.0	7.371005181785031e-09
IL7R	CDKN2Ap16INK4A	2	0.34411835243956573	1.0096115947842914	0.386958526220946
IL7R	AR	2	0.00033274459969716616	7.28694273693803	0.000900686522307313
IL7R	PTPRD	2	0.0006948153579798345	6.546894459887636	0.001802009907055236
IL7R	SDHA	3	4.929469573074877e-06	7.870364719583405	2.4529276737875588e-05
CDKN1B	RAD52	3	1.6779933441314044e-05	7.058378348794155	6.010398573160332e-05
CDKN1B	KDM5A	3	1.6779933441314044e-05	7.058378348794155	6.010398573160332e-05
CDKN1B	ETV6	4	6.762541783605168e-09	9.873444112515376	8.093464662273685e-08
CDKN1A	CDKN2B	2	0.16570799370611358	2.101695397069351	0.2131630693030656
CDKN1A	CDKN2A	2	0.18504185506753226	1.9847332433466895	0.2288240797040466
CDKN1A	CDKN2Ap14ARF	2	0.17852660789979563	2.0230836131130414	0.2254575321581465
CDKN1A	PIM1	2	8.031219285984916e-05	8.876516946565	0.00024161884627000902
RIT1	HIST2H3D	3	2.839389252396156e-07	10.461479447286155	2.225974027114345e-06
RIT1	HIST2H3C	3	2.839389252396156e-07	10.461479447286155	2.225974027114345e-06
RIT1	SDHC	3	1.4151766673090336e-06	8.873444112515376	9.882452189359722e-06
RIT1	TEK	2	0.005412300911187088	4.868210127444459	0.012627140785813076
RIT1	MCL1	4	5.264228884110033e-09	10.28848161179422	7.674691583676205e-08
RIT1	RICTOR	2	0.0004648533951775813	6.963474123974886	0.0012341634868772208
RIT1	DDR2	3	2.839389252396156e-07	10.461479447286155	2.225974027114345e-06
RIT1	NTRK1	3	7.109782434969664e-08	10.0	6.950857886423283e-07
RIT1	NUF2	3	7.109782434969664e-08	10.0	6.950857886423283e-07
RIT1	FGF19	2	0.002284988661531232	5.572578776265324	0.005535934628957591
SOX17	FGFR1	2	0.004216031620205937	5.257387842692652	0.009896955583025802
SOX17	TCEB1	2	4.0212929452188426e-05	9.878050912728536	0.00012469009095062903
SOX17	LYN	2	1.3423269237222725e-05	10.0	4.9139809410273504e-05
SOX17	MYC	2	0.019128399626612495	4.039528364186637	0.03696674439468601
JAK2	CDKN2B	2	0.036041477901943016	10.0	0.06305361712950452
JAK2	CDKN2A	2	0.04102151078895264	10.0	0.06606371214267373
JAK2	CDKN2Ap14ARF	2	0.03932570444198351	10.0	0.06592649795546328
JAK2	CD274	2	2.237211539537121e-06	10.0	1.1766599932628782e-05
JAK2	CDKN2Ap16INK4A	2	0.039746300211416494	10.0	0.06592649795546328
JAK2	PTPRD	2	4.698144233027954e-05	10.0	0.00014459843917208258
HIST2H3D	HIST2H3C	4	3.0158143944728164e-11	10.0	6.426004517453616e-10
HIST2H3D	SDHC	2	0.00020021283048522325	7.873444112515377	0.0005601914549940084
HIST2H3D	MCL1	3	9.922029357815564e-07	9.458406613236532	7.107936548573047e-06
HIST2H3D	DDR2	2	8.031219285984916e-05	8.876516946565	0.00024161884627000902
HIST2H3D	NTRK1	2	4.0212929452188426e-05	9.878050912728536	0.00012469009095062903
HIST2H3D	NUF2	2	4.0212929452188426e-05	9.878050912728536	0.00012469009095062903
HIST2H3C	SDHC	2	0.00020021283048522325	7.873444112515377	0.0005601914549940084
HIST2H3C	MCL1	3	9.922029357815564e-07	9.458406613236532	7.107936548573047e-06
HIST2H3C	DDR2	2	8.031219285984916e-05	8.876516946565	0.00024161884627000902
HIST2H3C	NTRK1	2	4.0212929452188426e-05	9.878050912728536	0.00012469009095062903
HIST2H3C	NUF2	2	4.0212929452188426e-05	9.878050912728536	0.00012469009095062903
EIF4A2	BCL6	2	2.237211539537121e-06	10.0	1.1766599932628782e-05
EIF4A2	TP63	2	2.237211539537121e-06	10.0	1.1766599932628782e-05
SMAD4	RET	2	0.0030828775014821526	10.0	0.007361698861297898
SMAD4	ERCC2	3	0.015070292869101123	2.9249142774438455	0.029998020968013284
SMAD4	CDKN2B	26	3.1315544481595427e-07	2.2081962294288733	2.4320763985239065e-06
SMAD4	CDKN2A	27	2.8130993526606115e-07	2.195920209975257	2.225974027114345e-06
SMAD4	RECQL4	2	0.20332713382307036	1.4084946534120717	0.2495788008965605
SMAD4	CCNE1	2	0.3730867937931464	0.7034415600266705	0.41338016752280626
SMAD4	TEK	3	0.13323422067001722	1.3890160596885093	0.1803218849784761
SMAD4	CDK6	3	0.07461396055667882	1.8122928448732711	0.11356080810000019
SMAD4	SMARCA4	2	0.05397115166868404	2.800062429491248	0.08462269252203101
SMAD4	CDKN2Ap14ARF	25	3.4267689779076356e-06	1.9995257672534226	1.7363689150251493e-05
SMAD4	BRCA2	2	0.027628328165743645	3.540273683161108	0.05113394366532955
SMAD4	IDH2	2	0.00891552497780326	5.128474557948809	0.018615078534056553
SMAD4	FGFR1	2	0.43397473572232276	0.5058245241217485	0.4582376180244602
SMAD4	CARM1	2	0.017191328077821966	4.126856279550426	0.03353519632082173
SMAD4	WT1	2	0.00891552497780326	5.128474557948809	0.018615078534056553
SMAD4	MAP2K4	3	0.001535827945939444	4.740387932468353	0.0037871603058625457
SMAD4	TERT	2	0.10388088918465357	2.117108302998864	0.14777444530981
SMAD4	MALT1	5	4.593650387793378e-07	10.0	3.502131625923209e-06
SMAD4	TRIP13	2	0.027628328165743645	3.540273683161108	0.05113394366532955
SMAD4	BCL2	5	4.593650387793378e-07	10.0	3.502131625923209e-06
SMAD4	AKT2	3	0.4224502914388156	0.3937963517046736	0.4506481853981983
SMAD4	EIF1AX	2	0.017191328077821966	4.126856279550426	0.03353519632082173
SMAD4	MYC	4	0.38488236295418604	0.400812427998844	0.4247506555311137
SMAD4	SMAD2	4	8.831058500615023e-06	10.0	3.494576006671945e-05
SMAD4	KRAS	4	0.059019769894607645	1.6265997905638696	0.09150266563884134
SMAD4	AMER1	2	0.06942139771232868	2.535402451608412	0.10585170917237638
SMAD4	RECQL	2	0.039967502021017676	3.123614266858274	0.06606371214267373
SMAD4	AGO2	2	0.20332713382307036	1.4084946534120717	0.2495788008965605
SMAD4	CDKN2Ap16INK4A	27	1.966834868379519e-07	2.228325377090189	1.7574621243262156e-06
SMAD4	ZRSR2	2	0.00891552497780326	5.128474557948809	0.018615078534056553
SMAD4	MTAP	10	0.00023638781709330435	2.3101371766161924	0.000654794253348453
FH	IKBKE	2	6.711634618611362e-06	10.0	2.6814271000317508e-05
FH	SMYD3	2	2.237211539537121e-06	10.0	1.1766599932628782e-05
FH	MDM4	2	2.237211539537121e-06	10.0	1.1766599932628782e-05
FH	HIST3H3	2	2.237211539537121e-06	10.0	1.1766599932628782e-05
FH	PARP1	2	2.237211539537121e-06	10.0	1.1766599932628782e-05
FH	IL10	2	6.711634618611362e-06	10.0	2.6814271000317508e-05
FH	AKT3	2	2.237211539537121e-06	10.0	1.1766599932628782e-05
FH	ELF3	2	1.3423269237222725e-05	10.0	4.9139809410273504e-05
ERCC2	CDKN2B	4	0.10325671781601631	1.5254614889724945	0.14751597762748006
ERCC2	CDKN2A	4	0.12502113856425523	1.4073431074888432	0.17087593116265806
ERCC2	CCNE1	2	0.022611630577675564	3.4453105103926442	0.04329554149780736
ERCC2	TEK	2	0.022611630577675564	3.4453105103926442	0.04329554149780736
ERCC2	CDKN2Ap14ARF	4	0.11752508652136662	1.4460643948994685	0.16277224483209277
ERCC2	AKT2	3	0.007862815882801468	3.301169534720565	0.01690660396671892
ERCC2	CDKN2Ap16INK4A	4	0.11937673030752623	1.4363251362768035	0.16451420047355605
H3C11	H3C12	2	2.237211539537121e-06	10.0	1.1766599932628782e-05
H3C11	H3C10	2	2.237211539537121e-06	10.0	1.1766599932628782e-05
FOXO1	CYSLTR2	2	1.3423269237222725e-05	10.0	4.9139809410273504e-05
FOXO1	FLT3	2	4.0212929452188426e-05	9.878050912728536	0.00012469009095062903
FOXO1	FLT1	2	4.0212929452188426e-05	9.878050912728536	0.00012469009095062903
FOXO1	RB1	2	1.3423269237222725e-05	10.0	4.9139809410273504e-05
FOXO1	BRCA2	3	2.839389252396156e-07	10.461479447286155	2.225974027114345e-06
PBRM1	BAP1	2	1.3423269237222725e-05	10.0	4.9139809410273504e-05
PRKD1	FOXA1	2	2.237211539537121e-05	10.0	7.406863702610946e-05
PRKD1	NKX2-1	2	2.237211539537121e-05	10.0	7.406863702610946e-05
PRKD1	NFKBIA	2	1.3423269237222725e-05	10.0	4.9139809410273504e-05
ERBB2	CDK12	5	2.0133735877055432e-11	11.19537220740274	4.4029301352192273e-10
ERBB2	RARA	2	0.00014044664222039076	8.551516017628014	0.0004038448432011928
ERBB2	CDKN2B	2	0.3965739051200732	0.7740911176497853	0.43362225678260635
ERBB2	CDKN2A	2	0.43173115182746863	0.6570382052404408	0.4564485841840031
ERBB2	CDKN2Ap14ARF	2	0.4200698645430647	0.6954191486765344	0.4506481853981983
ERBB2	CDKN2Ap16INK4A	2	0.4229910765470453	0.6857662969026385	0.4506481853981983
ERBB3	CDKN2B	5	0.04060390996050698	1.8556100906648252	0.06606371214267373
ERBB3	CDKN2A	5	0.05228015109035381	1.7369655941662063	0.08228182870470457
ERBB3	CDK4	3	0.00018391399736990952	5.441388029346687	0.0005251977038295355
ERBB3	CDKN2Ap14ARF	5	0.048172520246484225	1.7758546075598012	0.07683563210139807
ERBB3	AKT2	2	0.0821106251235535	2.3138907758219442	0.12451446984976816
ERBB3	KRAS	2	0.036827437218039626	3.0159415438690216	0.06415849125406903
ERBB3	CDKN2Ap16INK4A	5	0.04917895590482682	1.766072735623465	0.07799181747502117
ERBB3	GLI1	3	4.002329919363036e-05	6.44759985827995	0.00012469009095062903
ERBB3	MTAP	2	0.11103125465655608	2.0379027921375954	0.15507054221781194
CDK12	CDKN2B	3	0.08665400434141435	2.107933696751533	0.13068870709204233
CDK12	CDKN2A	3	0.10189623556911759	1.990426673293199	0.14751597762748006
CDK12	CDKN2Ap14ARF	3	0.09667639980475991	2.028951373696129	0.14219130661549645
CDK12	CDKN2Ap16INK4A	3	0.0979684166459709	2.019261902160633	0.14358334079859228
RYBP	CDKN2B	2	0.036041477901943016	10.0	0.06305361712950452
RYBP	CDKN2A	2	0.04102151078895264	10.0	0.06606371214267373
RYBP	SDHC	2	3.3558173093056814e-05	10.0	0.00011022467130565301
RYBP	CDKN2Ap14ARF	2	0.03932570444198351	10.0	0.06592649795546328
RYBP	CDKN2Ap16INK4A	2	0.039746300211416494	10.0	0.06592649795546328
HGF	CDK6	2	0.00034229336554917944	10.0	0.0009235252817252212
MAP3K14	CDKN2B	2	0.2426762337394111	1.5148433151469767	0.29397077294089013
MAP3K14	CDKN2A	2	0.26858699969968214	1.397850988462168	0.31569419625238454
MAP3K14	CDKN2Ap14ARF	2	0.2599011940777444	1.4362115223832537	0.3111125980892191
MAP3K14	CDKN2Ap16INK4A	2	0.26206837384170084	1.4265637526598713	0.3111125980892191
CSF3R	CDKN2B	2	0.2426762337394111	1.5148433151469767	0.29397077294089013
CSF3R	RAD54L	2	2.237211539537121e-05	10.0	7.406863702610946e-05
CSF3R	STK40	5	1.6007507401660382e-13	10.0	6.046472113990808e-12
CSF3R	EIF2C1	2	2.237211539537121e-05	10.0	7.406863702610946e-05
CSF3R	PIK3R3	2	2.237211539537121e-05	10.0	7.406863702610946e-05
CSF3R	RRAGC	2	6.697415053741424e-05	9.291554445843843	0.0002046158790315854
IKBKE	RECQL4	2	0.0006982517329383706	7.160647187854302	0.001802009907055236
IKBKE	SMYD3	2	6.711634618611362e-06	10.0	2.6814271000317508e-05
IKBKE	MDM4	2	6.711634618611362e-06	10.0	2.6814271000317508e-05
IKBKE	HIST3H3	2	6.711634618611362e-06	10.0	2.6814271000317508e-05
IKBKE	PARP1	2	6.711634618611362e-06	10.0	2.6814271000317508e-05
IKBKE	IL10	3	7.109782434969663e-09	10.0	8.093464662273685e-08
IKBKE	AKT3	2	6.711634618611362e-06	10.0	2.6814271000317508e-05
IKBKE	ELF3	3	2.8439129739878653e-08	10.0	2.954114601729895e-07
CDKN2B	CDKN2A	179	1.3868727441373821e-176	13.339882113795092	2.304982500756329e-174
CDKN2B	WHSC1	3	0.35015125724662516	0.6834109888092504	0.39098370220145096
CDKN2B	RECQL4	5	0.1383821361372654	1.1110313123887439	0.186076950048653
CDKN2B	FOXP1	2	0.16570799370611358	2.101695397069351	0.2131630693030656
CDKN2B	SDHC	3	0.08665400434141435	2.107933696751533	0.13068870709204233
CDKN2B	CCNE1	3	0.8444850612662963	-0.6615393239939658	0.8475447897491453
CDKN2B	TCF3	2	0.09453252042924885	3.1035825066136162	0.14078230192958027
CDKN2B	TEK	20	1.6343482939420638e-12	4.9905767461133745	4.6832532147098455e-11
CDKN2B	IRF4	2	0.16570799370611358	2.101695397069351	0.2131630693030656
CDKN2B	NSD1	2	0.09453252042924885	3.1035825066136162	0.14078230192958027
CDKN2B	NSD3	2	0.5347659364060973	0.28486772239146435	0.5486302384610702
CDKN2B	DOT1L	2	0.036041477901943016	10.0	0.06305361712950452
CDKN2B	KEAP1	2	0.16570799370611358	2.101695397069351	0.2131630693030656
CDKN2B	CDK4	4	0.1390583223048788	1.301169534720565	0.18638300941186176
CDKN2B	RAD52	3	0.292580456807967	0.877958103996021	0.3419611246236577
CDKN2B	CDK6	7	0.03876232138646445	1.4736279099960234	0.06592649795546328
CDKN2B	MCL1	2	0.3965739051200732	0.7740911176497853	0.43362225678260635
CDKN2B	SMARCA4	3	0.13097095673424958	1.6910041381314806	0.17754790382734323
CDKN2B	CEBPA	2	0.6983119941063674	-0.23541910163268742	0.7042442561922224
CDKN2B	CDKN2Ap14ARF	178	1.2309578257013884e-177	12.716047760300109	2.5573148828946345e-175
CDKN2B	HIST1H3B	2	0.036041477901943016	10.0	0.06305361712950452
CDKN2B	HIST1H3C	2	0.036041477901943016	10.0	0.06305361712950452
CDKN2B	HIST1H3A	2	0.036041477901943016	10.0	0.06305361712950452
CDKN2B	HIST1H3F	3	0.006795956638290102	10.0	0.015304715356149254
CDKN2B	HIST1H3G	3	0.006795956638290102	10.0	0.015304715356149254
CDKN2B	HIST1H3D	3	0.006795956638290102	10.0	0.015304715356149254
CDKN2B	HIST1H3E	3	0.006795956638290102	10.0	0.015304715356149254
CDKN2B	NOTCH2	2	0.5347659364060973	0.28486772239146435	0.5486302384610702
CDKN2B	FGFR4	2	0.09453252042924885	3.1035825066136162	0.14078230192958027
CDKN2B	H3-5	2	0.036041477901943016	10.0	0.06305361712950452
CDKN2B	H3F3C	2	0.3965739051200732	0.7740911176497853	0.43362225678260635
CDKN2B	BRCA2	2	0.2426762337394111	1.5148433151469767	0.29397077294089013
CDKN2B	MDM2	4	0.1390583223048788	1.301169534720565	0.18638300941186176
CDKN2B	FGFR3	3	0.4071952660472825	0.5115814391815781	0.4417483891452895
CDKN2B	FGFR1	7	0.21001673604610996	0.6697636137665312	0.25740989329545333
CDKN2B	FOXA1	2	0.2426762337394111	1.5148433151469767	0.29397077294089013
CDKN2B	CARM1	3	0.02335704715238412	3.6966728882181727	0.0443143976795233
CDKN2B	RICTOR	2	0.3965739051200732	0.7740911176497853	0.43362225678260635
CDKN2B	STK40	2	0.2426762337394111	1.5148433151469767	0.29397077294089013
CDKN2B	PAX5	3	0.292580456807967	0.877958103996021	0.3419611246236577
CDKN2B	CD274	2	0.036041477901943016	10.0	0.06305361712950452
CDKN2B	VEGFA	2	0.3965739051200732	0.7740911176497853	0.43362225678260635
CDKN2B	EIF2C1	2	0.036041477901943016	10.0	0.06305361712950452
CDKN2B	WT1	2	0.09453252042924885	3.1035825066136162	0.14078230192958027
CDKN2B	MAP2K4	2	0.2426762337394111	1.5148433151469767	0.29397077294089013
CDKN2B	YES1	4	0.10325671781601631	1.5254614889724945	0.14751597762748006
CDKN2B	TERT	4	0.10325671781601631	1.5254614889724945	0.14751597762748006
CDKN2B	MALT1	4	0.005424656149861935	4.119884318942717	0.012627140785813076
CDKN2B	KMT2B	3	0.292580456807967	0.877958103996021	0.3419611246236577
CDKN2B	SMARCB1	2	0.2426762337394111	1.5148433151469767	0.29397077294089013
CDKN2B	INSR	2	0.5347659364060973	0.28486772239146435	0.5486302384610702
CDKN2B	TRIP13	3	0.0502556336561674	2.6947857786739076	0.07924560069881426
CDKN2B	BCL2	4	0.005424656149861935	4.119884318942717	0.012627140785813076
CDKN2B	AKT2	11	0.15617069874225578	0.6259563116919644	0.20534470040318759
CDKN2B	EIF1AX	3	0.02335704715238412	3.6966728882181727	0.0443143976795233
CDKN2B	WHSC1L1	3	0.4071952660472825	0.5115814391815781	0.4417483891452895
CDKN2B	MYC	13	0.2527706618389271	0.3883225079160597	0.3053087499827739
CDKN2B	NEGR1	2	0.036041477901943016	10.0	0.06305361712950452
CDKN2B	SMAD2	4	0.0012755931335920977	10.0	0.003202470978897381
CDKN2B	KRAS	8	0.12226752920651651	0.8707721646435537	0.1682190675010186
CDKN2B	KDM5A	2	0.59531230630563	0.09032060720469408	0.6032982030975348
CDKN2B	KDM5C	2	0.16570799370611358	2.101695397069351	0.2131630693030656
CDKN2B	AMER1	5	0.008072826775843863	2.8612937291684077	0.01728999755341817
CDKN2B	PIM1	2	0.16570799370611358	2.101695397069351	0.2131630693030656
CDKN2B	HIST1H2BD	3	0.006795956638290102	10.0	0.015304715356149254
CDKN2B	RECQL	4	0.013857262970920452	3.1179972093984514	0.027747916936951555
CDKN2B	FGF4	3	0.4071952660472825	0.5115814391815781	0.4417483891452895
CDKN2B	FGF3	3	0.4071952660472825	0.5115814391815781	0.4417483891452895
CDKN2B	ETV6	2	0.32068734843840935	1.0979137565269244	0.3692211941796446
CDKN2B	AGO2	3	0.566016854122623	0.09081516318566671	0.5764215757057595
CDKN2B	FGF19	5	0.1383821361372654	1.1110313123887439	0.186076950048653
CDKN2B	MAPK1	2	0.32068734843840935	1.0979137565269244	0.3692211941796446
CDKN2B	KDM6A	3	0.02335704715238412	3.6966728882181727	0.0443143976795233
CDKN2B	BCOR	2	0.09453252042924885	3.1035825066136162	0.14078230192958027
CDKN2B	HIST1H1C	2	0.036041477901943016	10.0	0.06305361712950452
CDKN2B	CDKN2Ap16INK4A	176	2.0215092491038123e-169	11.315497955168134	2.7997903100087798e-167
CDKN2B	ZRSR2	3	0.006795956638290102	10.0	0.015304715356149254
CDKN2B	GLI1	3	0.13097095673424958	1.6910041381314806	0.17754790382734323
CDKN2B	TMPRSS2	2	0.16570799370611358	2.101695397069351	0.2131630693030656
CDKN2B	GNA11	2	0.036041477901943016	10.0	0.06305361712950452
CDKN2B	AR	3	0.0502556336561674	2.6947857786739076	0.07924560069881426
CDKN2B	RTEL1	2	0.2426762337394111	1.5148433151469767	0.29397077294089013
CDKN2B	MTAP	47	7.185385295616044e-33	6.489883162289822	5.971055180656932e-31
CDKN2B	PTPRD	4	0.027564734484300683	2.5311451274760772	0.05113394366532955
CDKN2B	SDHA	2	0.3965739051200732	0.7740911176497853	0.43362225678260635
CDKN2A	ARID1A	2	0.10655163607469478	2.98665044634098	0.14982133600350483
CDKN2A	WHSC1	3	0.3924803476094505	0.5657518967553213	0.4325612319143944
CDKN2A	RECQL4	6	0.06340636056654463	1.4169753035203363	0.09739498268169794
CDKN2A	FOXP1	2	0.18504185506753226	1.9847332433466895	0.2288240797040466
