Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	APC	0	1	11	163	0.9371428571428572	-10.0	0.9942857142857143
KRAS	TP53	0	1	6	168	0.9657142857142857	-10.0	0.9942857142857143
KRAS	AXIN2	0	1	5	169	0.9714285714285714	-10.0	0.9942857142857143
KRAS	CTNNB1	0	1	5	169	0.9714285714285714	-10.0	0.9942857142857143
KRAS	RSPO3	0	1	5	169	0.9714285714285714	-10.0	0.9942857142857143
KRAS	PTPRK	0	1	5	169	0.9714285714285714	-10.0	0.9942857142857143
KRAS	SMAD4	0	1	4	170	0.9771428571428571	-10.0	0.9942857142857143
KRAS	BRAF	0	1	4	170	0.9771428571428571	-10.0	0.9942857142857143
KRAS	TSC2	0	1	4	170	0.9771428571428571	-10.0	0.9942857142857143
KRAS	NOTCH2	0	1	3	171	0.9828571428571429	-10.0	0.9942857142857143
KRAS	SMAD3	0	1	3	171	0.9828571428571429	-10.0	0.9942857142857143
KRAS	DNMT1	0	1	3	171	0.9828571428571429	-10.0	0.9942857142857143
KRAS	NCOR1	0	1	3	171	0.9828571428571429	-10.0	0.9942857142857143
KRAS	DOT1L	0	1	3	171	0.9828571428571429	-10.0	0.9942857142857143
KRAS	RET	0	1	3	171	0.9828571428571429	-10.0	0.9942857142857143
KRAS	RAD21	0	1	3	171	0.9828571428571429	-10.0	0.9942857142857143
KRAS	FOXP1	0	1	3	171	0.9828571428571429	-10.0	0.9942857142857143
KRAS	RECQL4	0	1	3	171	0.9828571428571429	-10.0	0.9942857142857143
KRAS	ALK	0	1	3	171	0.9828571428571429	-10.0	0.9942857142857143
KRAS	CDC73	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	CDH1	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	PIK3R1	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	IGF2	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	RNF43	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	CD79B	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	RSPO2	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	GPR128	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	CUL1	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	PTEN	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	RUNX1	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	MGA	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	EZH2	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	PBRM1	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	MAP3K1	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	TFG	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	WHSC1L1	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	ARID1A	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	TET2	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	NBN	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	NF1	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	AKT2	0	1	2	172	0.9885714285714285	-10.0	0.9942857142857143
KRAS	PTPN11	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	NCOA3	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	RBM22	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	MTOR	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	NCOA4	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	MTMR4	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	REEP5	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	NDEL1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	NAB2	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	PAPSS1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	NKX3	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	NOTCH1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	PRKD1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	PPP1R13L	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	POLD1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	NOTCH3	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	PIM1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	NOTCH4	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	NPEPPS	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	NRF1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	NTHL1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	NUP88	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	PHACTR2	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	PGAP3	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	PARK2	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	ADCY8	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	SESN1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	RICTOR	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	TCEB1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	TCF3	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	TEK	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	TET1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	TGFBR1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	TGFBR2	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	TIAM1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	TM9SF4	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	TMIE	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	TNK1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	TOP1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	TOP1MT	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	TRAF2	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	TSC22D1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	TTC33	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	U2AF1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	VOPP1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	SUZ12	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	RIBC2	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	STRN	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	STAT3	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	RNF5P1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	RPH3A	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	SCG5	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	SEC24B	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	SETD2	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	SHOC2	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	SIGLECL1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	SLC4A4	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	SLX4	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	SMAD2	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	SMARCD2	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	SND1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	SOCS6	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	SOX2	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	SPATA2L	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	SPRYD3	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	SPTBN1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	STK11	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	MPL	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
KRAS	LRRC75A-AS1	0	1	1	173	0.9942857142857143	-10.0	0.9942857142857143
