Gene_A	Gene_B	Co_Occurrence_Count	Only_KRAS	Only_Gene_B	Neither	P_Value	Log2OR	P_Adj
KRAS	APC	0	1	5	49	0.9090909090909091	-10.0	0.9818181818181818
KRAS	AXIN2	0	1	3	51	0.9454545454545454	-10.0	0.9818181818181818
KRAS	SMAD3	0	1	2	52	0.9636363636363636	-10.0	0.9818181818181818
KRAS	NOTCH2	0	1	2	52	0.9636363636363636	-10.0	0.9818181818181818
KRAS	TP53	0	1	2	52	0.9636363636363636	-10.0	0.9818181818181818
KRAS	PTEN	0	1	2	52	0.9636363636363636	-10.0	0.9818181818181818
KRAS	CDH1	0	1	2	52	0.9636363636363636	-10.0	0.9818181818181818
KRAS	RAD21	0	1	2	52	0.9636363636363636	-10.0	0.9818181818181818
KRAS	DOT1L	0	1	2	52	0.9636363636363636	-10.0	0.9818181818181818
KRAS	RSPO2	0	1	2	52	0.9636363636363636	-10.0	0.9818181818181818
KRAS	RUNX1	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	RSPO3	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	RNF5P1	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	RECQL4	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	RIBC2	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	SCG5	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	PTPRK	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	POLD1	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	PIK3R1	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	RICTOR	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	SETD2	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	AKT1	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	SIGLECL1	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	SLX4	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	SMAD4	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	SPATA2L	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	TCEB1	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	TEK	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	TET1	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	TET2	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	TGFBR2	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	TMIE	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	TNK1	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	TOP1MT	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	TSC2	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	TSC22D1	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	SHOC2	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	NTHL1	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	NF1	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	TTC33	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	BIRC3	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	BRCA2	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	CALR	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	CDC73	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	CEP112	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
KRAS	CIC	0	1	1	53	0.9818181818181818	-10.0	0.9818181818181818
